AGENCY_CLIENTID,AGENCY_CODE,LNAME,FNAME,DOB
368,37,AMBURN,MARNI,1976-08-27
448,37,BEESWAX,BURT,1978-10-05
468,37,BENSON,JOHN,1945-01-02
304,37,SMITH,SUSAN,1964-07-18
305,37,SMITH,SANDRA,1962-10-30
306,37,SMITH,JANE,1956-11-14
388,37,JONES,NANCY,1960-02-04
1331,37,BANNON,LINDA,2000-01-01
178104,37,MOORE,TELMEE,1980-07-21
178133,37,MARTIN,PAUL,1945-03-22
728,37,SANDS,BRIAN,1955-01-22
748,37,CARSON,PETER,1969-06-01
283,37,HALL,SARAH,1970-05-26
284,37,HILL,ANGELA,1956-02-14
301,37,SAMPLE,SALLY,2001-05-03
302,37,SAMPLE,SAM,2003-05-05
303,37,STEWART,MELANY,1987-01-04
348,37,JOHNSON,WILLIAM,1960-02-02
369,37,ROSS,LORI,1975-05-26
389,37,DOE,JANE,1962-01-30
488,37,ANDERSON,LONNI,1955-09-05
489,37,SAUER,WHISKEY,1984-04-23
281,37,SALISBURY,JANE,1966-01-05
282,37,LUNA,BELLA,1967-12-26
307,37,BURRIS,DAN,1963-09-20
178070,37,JENSEN,FRANCINE,1953-08-21
178083,37,SANDLER,ADAM,1974-02-02
178129,37,BANKS,BONNIE,1970-01-01
178460,37,BURNS,GEORGE,1962-01-05
178528,37,LINDEN,FRANCIS,1964-03-22
178530,37,MEDFORD,ANITA,1951-07-11
178536,37,MILAN,FELIX,1951-08-03
178538,37,PULHISER,DOROTHY,1931-03-12
178542,37,BAYLISS,BRITTANY,1960-09-12
178544,37,PARKER,PAM,1971-02-10
178546,37,MARTIN,MICHELLE,1960-05-01
178548,37,WILMOT,MARGE,1939-08-13
178184,37,PATIENT,TEST,1955-01-04
178290,37,SAUER,TOM,1970-06-01
178292,37,DIDDLEY,BO,1945-03-20
178294,37,DAVIS,DAN,1946-03-22
191600,37,SAUER,WHISKEY,2000-05-04
178029,37,ANDERSON,BOB,1955-09-05
178108,37,LOGAN,MARY,1990-11-20
178055,37,JENSEN,FRANCINE,1953-08-21
178298,37,STUART,JILL,1990-08-04
178300,37,SMELLY,CHRIS,1995-03-15
178076,37,SAUER,CHUCK,1990-04-04
178079,37,SAUER,CHUCK,
178080,37,SAUER,CHARLES,1958-02-04
193848,37,WELCH,RICKY,2005-12-12
178526,37,THOMPSON,JAMES,1951-04-16
178540,37,ROGERS,LISA,1957-11-14
193344,37,SAUER,NICOLE,1985-06-29
193350,37,SLAVINSKIA,EDITA,1976-04-11
178532,37,WHISNANT,TOM,1962-02-10
178534,37,SYRUP,MABLE,1934-04-11
193374,37,GLEN,JOHN,1934-10-17
193376,37,PATIENT,ANEW,
178296,37,JACOBS,BRANDON,1971-08-01
193356,37,TEUTAL,PAUL,1945-08-07
193346,37,SAUER,CINDY,1954-06-30
193348,37,LAND,JAMES,1944-11-11
